"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","Ground Data Terminals","47.381","","","","","0.000","47.381","","","","","","","","","","125","","","","","","","125","","","","","0.379","","","","","","","0.379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-5-793a425535fec6e2d3cc7d1b3be88475b7741c03","0","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-5-cb951848e9edba05f410606ae23dfc38dd78d8dd","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
"","Predator Primary Satellite Link (PPSL)","105.248","0.5","1.919","1.186","1.186","0.000","129.625","15.46","1.154","2.377","","","1.781","","","","27","","4","","","","","31","","","","","3.898","","3.865","","","","","4.181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-6-04793e0943deb4fd7647b14bc1be5222940265f0","0","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-6-c9699c47a15a0667b6bbc42d32a7fd328cb4dc8b","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
"","Start Up Tooling/Fixtures","","","","2.266","2.266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1484d90f7394f38cf17623fd177979618cbbcc61-0-1575ab1f72ae8a48cf63853e75be3157a4fc41e2","1484d90f7394f38cf17623fd177979618cbbcc61","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1484d90f7394f38cf17623fd177979618cbbcc61-0-1da4509b424637b5fe767b847f7516165dcb4cac"
"","1.2.1) LDU Refurbishment","","","","1.127","1.127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1686392c0273c503933a500aeafeaec7aea93a88-0-7f9c556ebb33e14e0a7b032582665c5483bae065","1686392c0273c503933a500aeafeaec7aea93a88","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1686392c0273c503933a500aeafeaec7aea93a88-0-518da4fe0874d10a1876c7ea0f41bc5125158dc1"
"","Long Lead Materials","","","","12.92","12.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1afc35709315220541543f5470a3b33f242f30c9-0-f01da1d59cc85f72d0402e701f0af3031341ef68","1afc35709315220541543f5470a3b33f242f30c9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1afc35709315220541543f5470a3b33f242f30c9-0-b64f592fcdca3435e9de310793c3b8a882b71a3d"
"","Initial Production Facilities","","","","7.997","7.997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1afc35709315220541543f5470a3b33f242f30c9-1-b4a1e3e760f9c16af451bcba5ee8343a054bdad4","1afc35709315220541543f5470a3b33f242f30c9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1afc35709315220541543f5470a3b33f242f30c9-0-b64f592fcdca3435e9de310793c3b8a882b71a3d"
"","Aircraft Vehicle Regeneration","21.374","47.093","22.429","28.755","28.755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-8306cce9926d59371723531fed085149d03b1d6a","1d11f176d5834e92de331c8af592d62ac4cdaad1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-b2cd2a699d1366c3888e7fe8d4b24ccaa388d461"
"","Engine Regeneration","10.544","11.809","11.686","30.151","30.151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d11f176d5834e92de331c8af592d62ac4cdaad1-1-561a170bae37d3e07ef62d7ba2603480e6a7ddd9","1d11f176d5834e92de331c8af592d62ac4cdaad1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-b2cd2a699d1366c3888e7fe8d4b24ccaa388d461"
"","WGS SV 4-5 RF Bypass Mod","4.062","","0","0","0","0","4.062","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d57787d2e58f4496976abc57b853d4cb153e84d-0-5f773fe174e954918b49d1d2a05c5d7706320ac8","1d57787d2e58f4496976abc57b853d4cb153e84d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d57787d2e58f4496976abc57b853d4cb153e84d-0-22d5bda6b805ffe9d85fadfe2b385b3f2deb7aae"
"","Factory Restart","67.76","","","","","0","67.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d57787d2e58f4496976abc57b853d4cb153e84d-0-7f8146406c8a6131220e38588ba6931f2bc4d417","1d57787d2e58f4496976abc57b853d4cb153e84d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d57787d2e58f4496976abc57b853d4cb153e84d-0-ae56630242925b31a8634e3d2503e5b6ceaef96f"
"","WGS SV 7 RF Bypass Mod","0.777","","","","","0","0.777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d57787d2e58f4496976abc57b853d4cb153e84d-1-32dbfcb4d0f6b23cd58734e165dfdb92f8ff7fe0","1d57787d2e58f4496976abc57b853d4cb153e84d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d57787d2e58f4496976abc57b853d4cb153e84d-0-ae56630242925b31a8634e3d2503e5b6ceaef96f"
"","WGS SV 7 Redundant Ports","4.407","","","","","0","4.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d57787d2e58f4496976abc57b853d4cb153e84d-2-b7256f5c41972a8070d9c2879fdeef3f79ff01c1","1d57787d2e58f4496976abc57b853d4cb153e84d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d57787d2e58f4496976abc57b853d4cb153e84d-0-ae56630242925b31a8634e3d2503e5b6ceaef96f"
"","WGS SV 10 Test Battery Refurbishment","3.5","","","","","0","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d57787d2e58f4496976abc57b853d4cb153e84d-3-20cedc69e50ec752c0f1289f7203bc6dc871fef6","1d57787d2e58f4496976abc57b853d4cb153e84d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d57787d2e58f4496976abc57b853d4cb153e84d-0-ae56630242925b31a8634e3d2503e5b6ceaef96f"
"","WGS B2FO Enhanced Digital Channelizer Implementation","71.891","","","","","0","71.891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d57787d2e58f4496976abc57b853d4cb153e84d-4-2caa47b324daca156d361ccc5a126d5d3d5bcdfb","1d57787d2e58f4496976abc57b853d4cb153e84d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d57787d2e58f4496976abc57b853d4cb153e84d-0-ae56630242925b31a8634e3d2503e5b6ceaef96f"
"","1.2.1) Engineering Change Orders (ECO) (Active)","","","9.345","8.407","8.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d7cdcafa506437fd50a6ffe6deca9453484f225-0-d07243b44569e6207a4e83d32e646bac51499e3d","1d7cdcafa506437fd50a6ffe6deca9453484f225","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1d7cdcafa506437fd50a6ffe6deca9453484f225-0-ac37c00f2aa53ebb6366109ae489cfec0114de0c"
"","Nonrecurring Tooling Cost","96.56","","","","","0","96.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1fe9512fd770b18621538b225a2128e8cd4a0e5a-0-d7b0efa2bab32a0b8bed28c67e6f81174d0e4ed7","1fe9512fd770b18621538b225a2128e8cd4a0e5a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1fe9512fd770b18621538b225a2128e8cd4a0e5a-1-c46b34c3bed200ca91dc4ea57d7ac281c538cea3"
"","Ancillary Equipment","26.758","2.002","","","","0","28.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1fe9512fd770b18621538b225a2128e8cd4a0e5a-1-8da5b0a13ba5d0e69995fe7d6295779da30b5f33","1fe9512fd770b18621538b225a2128e8cd4a0e5a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1fe9512fd770b18621538b225a2128e8cd4a0e5a-1-c46b34c3bed200ca91dc4ea57d7ac281c538cea3"
"","Parts Obsolescence","19.603","1.231","15","","","0","35.834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1fe9512fd770b18621538b225a2128e8cd4a0e5a-2-4958b683bef6d921b27edfe7590d88c2842e9f0c","1fe9512fd770b18621538b225a2128e8cd4a0e5a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1fe9512fd770b18621538b225a2128e8cd4a0e5a-1-c46b34c3bed200ca91dc4ea57d7ac281c538cea3"
"In FY19 LAIRCM, JABS, and Block Upgrade are added into the production line which increases the cost of the aircraft.","1.2.1) Non-Recur Cost","52.125","1.951","1.99","4.059","4.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-baac30170a8447c4855afda69bdacb32e0d30796","20b10a74b043506ebbab9e1d83b2b4a221106b47","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-7948a36d57f39bfe35795adf87aa211298a02aac"
"","Non-Recurring Eng (ABCT)","","12.177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37584602886b677f3aeb8f337cfe73f041f6e882-0-f5be2e64b8a169ff969edda94879e15051574a8c","37584602886b677f3aeb8f337cfe73f041f6e882","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","37584602886b677f3aeb8f337cfe73f041f6e882-0-fe2150d07d87b99c16755c4a68661393880d5142"
"","Training Aids","","1.656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a3642448abb8265765d938464b84f4c09dbd7d6-0-6e8ba7886949eebad75d6d84b99511faed844e4f","3a3642448abb8265765d938464b84f4c09dbd7d6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a3642448abb8265765d938464b84f4c09dbd7d6-0-f0b33c6d7ccc35e5eb7f05223771caa141724ec6"
"","Engineering","","","","0.075","0.075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a3642448abb8265765d938464b84f4c09dbd7d6-0-13f1cee685bb34376a0141b4982549ec5b58d8fe","3a3642448abb8265765d938464b84f4c09dbd7d6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a3642448abb8265765d938464b84f4c09dbd7d6-0-acb3d5c5af9fba1f91575cebefd6843c75826d3d"
"","Quality Assurance","","","","0.038","0.038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a3642448abb8265765d938464b84f4c09dbd7d6-1-7e18c14d1d9247cbc1d5f627bba1591ab30c3ee5","3a3642448abb8265765d938464b84f4c09dbd7d6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a3642448abb8265765d938464b84f4c09dbd7d6-0-acb3d5c5af9fba1f91575cebefd6843c75826d3d"
"","Factory Restart","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-0-b59cbc5aaeea87e746753bc454345e7a4bddf981","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-0-be5c4175363bf7089d4c9ad962a05802516d9ece"
"","WGS SV 7 RF Bypass Mod","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-1-8a6926a2c11cfbbd74065276ca46f16d94bc49f2","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-0-be5c4175363bf7089d4c9ad962a05802516d9ece"
"","WGS SV 7 Redundant Ports","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-2-8b0751fcc1c4a5b166a21304aec7c8dd7124f203","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-0-be5c4175363bf7089d4c9ad962a05802516d9ece"
"","WGS SV 10 Test Battery Refurbishment","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-3-51bd0f773025adab46ac85a07291be4d9905e876","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-0-be5c4175363bf7089d4c9ad962a05802516d9ece"
"","WGS B2FO Enhanced Digital Channelizer Implementation","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-4-30b5e38d42c1e6ebe37d65d32349904dacff492a","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3a7845eb6c3f5b11d3b782ce03f0d04da8954ce0-0-be5c4175363bf7089d4c9ad962a05802516d9ece"
"","1.2.1) Non-Recur Cost","","","","28.652","28.652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3cf919c1577a90ba90466781155011304f08efd9-0-b5ed6c494bdf3ec39f4cb74e6166a109f86e6c72","3cf919c1577a90ba90466781155011304f08efd9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3cf919c1577a90ba90466781155011304f08efd9-0-c11cea180bbf6f34eb9a2bb5d3846b6b75104eee"
"Note: Other includes Ground Control Stations.","1.2.3) Other","","","","29.691","29.691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3cf919c1577a90ba90466781155011304f08efd9-1-e38e5cfde668716cf0ddeeab65d30222fe2ce1d8","3cf919c1577a90ba90466781155011304f08efd9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3cf919c1577a90ba90466781155011304f08efd9-0-c11cea180bbf6f34eb9a2bb5d3846b6b75104eee"
"Increase in Special Tool & Test Equipment (ST/STE) from FY15 to FY16 is based on a one-time tooling update for the Block II Plus missile configuration.  FY17 and FY18 increase reflect programs 10 year update to production tooling.","3.1.1) Special Tool & Test Equip (ST/STE) - Block II","4.649","0.008","0.304","4.787","4.787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-0-3bc044b2fab723e85d6898b676299f60281c825d","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-59e5edd81cf48548de7f4153ef1fd28cb6e64c2c"
"Containers are procured on a ratio of 4:1, plus 10% attrition in the fleet. Each container can hold up to 4 missiles.  AURs and CATMs cannot be mixed within the same container.","3.1.2) Missile Containers - Block II","1.204","0.713","0.607","0.741","0.741","","","","","","","","","63","63","59","80","46","","","","","","","","11761.9","11761.9","12080","15050","13195.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-b3bdbac39725b7cc8df6dff5284a8413b396f378","38","","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-1-4a531b11c3d8a059dd5b8e7512aa2f323ae0cdf9","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-59e5edd81cf48548de7f4153ef1fd28cb6e64c2c"
"","3.1.3) Nonrecurring Engineering - Block II","20.543","4.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-089def9bbfc470799ba0719c144f2821629cb3bb","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","3d8d46ac2c5dfac6592d67ff0bc76e0e88450ec9-2-59e5edd81cf48548de7f4153ef1fd28cb6e64c2c"
"","1.2.1) Non-Recur Cost","1527.646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425c7d1313856757bb5bdb819b002195aa589969-0-f639688c9a4ba2701184df4cbd9e1e413398396b","425c7d1313856757bb5bdb819b002195aa589969","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","425c7d1313856757bb5bdb819b002195aa589969-0-d9b0ff8aa9a6d7b945b1710a83e6077a5b32c7dd"
"","1.2.2) Ancillary Equip","3280.024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425c7d1313856757bb5bdb819b002195aa589969-1-6b2a6b9c5a109a222dadfaca2be20b0943920a3c","425c7d1313856757bb5bdb819b002195aa589969","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","425c7d1313856757bb5bdb819b002195aa589969-0-d9b0ff8aa9a6d7b945b1710a83e6077a5b32c7dd"
